time_window,src_mac,protocol,pkt_count,pkt_rate,byte_mean,byte_rate,iat_mean,iat_std,label
0,26,2,6,0.3,91.66666666666667,27.5,1784.4,363.1195395458636,0
0,28,1,3,0.15,51.0,7.65,5090.0,7143.192703546503,0
0,28,2,13,0.65,73.3076923076923,47.65,1349.9166666666667,1365.4143199598848,0
0,29,1,2,0.1,51.0,5.1,9257.0,0.0,0
0,29,2,17,0.85,75.17647058823529,63.9,1095.5,1580.3674256324066,0
0,30,1,2,0.1,51.0,5.1,9750.0,0.0,0
0,30,2,12,0.6,74.83333333333333,44.9,1555.090909090909,1722.3664217898265,0
0,31,1,5,0.25,51.0,12.75,2423.75,2777.551124641993,0
0,31,2,9,0.45,72.11111111111111,32.45,1829.125,1275.6770121334453,0
0,32,1,1,0.05,51.0,2.55,0.0,0.0,0
0,32,2,13,0.65,74.92307692307692,48.7,1313.1666666666667,1509.8927013854227,0
0,33,1,5,0.25,51.0,12.75,2628.75,3029.160651071514,0
0,33,2,12,0.6,73.08333333333333,43.85,1401.2727272727273,2317.4433797143392,0
0,34,1,7,0.35,51.0,17.85,1391.8333333333333,774.4098182917535,0
0,34,2,13,0.65,62.0,40.3,943.6666666666666,844.7930713099707,0
0,35,1,10,0.5,51.0,25.5,1523.4444444444443,962.4135170381688,0
0,35,2,9,0.45,72.11111111111111,32.45,1662.0,1806.6317515515677,0
0,36,1,10,0.5,52.0,26.0,1531.2222222222222,1025.422324920052,0
0,36,2,13,0.65,73.3076923076923,47.65,1079.4166666666667,1762.2523531153552,0
0,37,1,4,0.2,52.0,10.4,3171.6666666666665,2713.64429012598,0
0,37,2,9,0.45,79.88888888888889,35.95,1995.75,1707.8096038075037,3
0,38,1,4,0.2,52.0,10.4,3695.0,78.58116822750856,0
0,38,2,7,0.35,81.0,28.35,2789.0,2418.366886971454,3
0,39,1,4,0.2,52.0,10.4,2882.6666666666665,2515.18316099113,0
0,39,2,11,0.55,79.18181818181819,43.55,1685.9,1231.1733743781897,3
0,41,1,2,0.1,59.0,5.9,9782.0,0.0,0
0,41,2,9,0.45,94.55555555555556,42.55,1897.125,2374.6389462400384,4
0,42,1,1,0.05,59.0,2.95,0.0,0.0,0
0,42,2,6,0.3,96.0,28.8,1817.2,909.5719872555443,4
0,43,1,2,0.1,51.0,5.1,9797.0,0.0,0
0,43,2,9,0.45,92.22222222222223,41.5,2070.875,972.6103958640671,0
0,44,1,8,0.4,59.0,23.6,1288.0,2105.096434845682,0
0,44,2,7,0.35,96.85714285714286,33.9,2549.5,2465.021440069031,4
0,45,1,4,0.2,51.0,10.2,2979.3333333333335,2523.303852756012,0
0,45,2,17,0.85,85.82352941176471,72.95,1071.5625,1693.4074512158418,0
0,46,1,3,0.15,59.0,8.85,4922.0,540.2295808265224,0
0,46,2,6,0.3,96.0,28.8,3059.4,2521.398381850833,4
0,47,1,8,0.4,60.25,24.1,1305.7142857142858,1041.6265668472097,0
0,47,2,7,0.35,85.71428571428571,30.0,1216.1666666666667,1245.6372532429602,4
0,48,1,10,0.5,51.0,25.5,1624.111111111111,1030.6309286602605,0
0,48,2,12,0.6,94.66666666666667,56.8,1451.3636363636363,1595.824694177106,0
0,49,1,11,0.55,60.0,33.0,1146.1,1074.3449115106791,0
0,49,2,6,0.3,91.66666666666667,27.5,2640.0,2849.2532354987334,4
0,50,1,33,1.65,60.24242424242424,99.4,362.0625,569.359965365752,0
0,50,2,18,0.9,82.38888888888889,74.15,1017.9411764705883,1656.709746402045,4
0,51,1,17,0.85,59.05882352941177,50.2,700.1875,896.8580131956971,0
0,51,2,11,0.55,86.45454545454545,47.55,1684.2,2471.5475493886192,4
0,52,1,18,0.9,58.666666666666664,52.8,666.3529411764706,1396.4388610487244,0
0,52,2,13,0.65,86.84615384615384,56.45,1411.3333333333333,1884.3725907065354,4
20,2,1,3,0.15,51.0,7.65,5258.0,7392.094290524168,0
20,2,2,10,0.5,72.5,36.25,2007.0,1334.9794005901365,0
20,3,1,2,0.1,51.0,5.1,10890.0,0.0,0
20,3,2,7,0.35,68.0,23.8,2390.8333333333335,1869.7470862837752,0
20,4,1,3,0.15,51.0,7.65,4793.0,6755.698187456275,0
20,4,2,7,0.35,81.0,28.35,2285.1666666666665,1730.3693728989388,0
20,5,1,3,0.15,51.0,7.65,5683.5,259.50818869546293,0
